entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,order_id,order_receipt,method,dispute_id,parent_payment_id
pay_82400094,payment,0.00,1566.85,1566.85,INR,0.00,0.00,N,Y,2026-08-11 21:55:00,2026-08-13 11:00:00,setl_82400040,KKBKN260813944541,order_8240100,INV-2627-1101,upi,,
pay_82400044,payment,0.00,10486.39,10486.39,INR,159.60,28.73,N,Y,2026-08-12 07:28:00,2026-08-14 11:00:00,setl_82400041,HDFCN260814304429,order_8240049,INV-2627-1050,netbanking,,
pay_82400038,payment,0.00,9180.94,9180.94,INR,0.00,0.00,N,Y,2026-08-12 07:36:00,2026-08-14 11:00:00,setl_82400041,HDFCN260814304429,order_8240043,INV-2627-1044,upi,,
pay_82400120,payment,0.00,10870.79,10870.79,INR,0.00,0.00,N,Y,2026-08-12 15:44:00,2026-08-14 11:00:00,setl_82400041,HDFCN260814304429,order_8240127,INV-2627-1128,upi,,
pay_82400028,payment,0.00,1027.10,1027.10,INR,18.49,3.33,N,Y,2026-08-12 19:07:00,2026-08-14 11:00:00,setl_82400041,HDFCN260814304429,order_8240030,INV-2627-1031,wallet,,
rfnd_82400004,refund,1052.07,0.00,-1052.07,INR,0.00,0.00,N,N,2026-08-13 21:17:00,,,,order_8240055,,netbanking,,pay_82400049
pay_82400062,payment,0.00,5807.85,5807.85,INR,174.24,31.36,N,Y,2026-08-14 09:35:00,2026-08-16 11:00:00,setl_82400043,ICICN260816251568,order_8240069,INV-2627-1070,emi,,
rfnd_82400006,refund,9974.47,0.00,-9974.47,INR,0.00,0.00,N,Y,2026-08-14 09:55:00,2026-08-16 11:00:00,setl_82400043,ICICN260816251568,order_8240093,,upi,,pay_82400088
pay_82400104,payment,0.00,4221.70,4221.70,INR,84.43,15.20,N,Y,2026-08-14 13:39:00,2026-08-16 11:00:00,setl_82400043,ICICN260816251568,order_8240109,INV-2627-1110,card,,
pay_82400098,payment,0.00,3433.59,3433.59,INR,0.00,0.00,N,Y,2026-08-14 18:35:00,2026-08-16 11:00:00,setl_82400043,ICICN260816251568,order_8240103,INV-2627-1104,upi,,
rfnd_82400008,refund,783.42,0.00,-783.42,INR,0.00,0.00,N,N,2026-08-15 21:55:00,,,,order_8240100,,upi,,pay_82400094
rfnd_82400009,refund,4221.70,0.00,-4221.70,INR,0.00,0.00,N,N,2026-08-16 13:39:00,,,,order_8240109,,card,,pay_82400104
